Comunidades y Ciudades Autónomas,Año,Precio m2
01 Andalucía,2025,2468
02 Aragón,2025,1469
"03 Asturias, Principado de",2025,1538
"04 Balears, Illes",2025,4905
05 Canarias,2025,3039
06 Cantabria,2025,1841
07 Castilla y León,2025,1216
08 Castilla - La Mancha,2025,961
09 Cataluña,2025,2560
18 Ceuta,2025,2325
,2025,2207
,2025,3179
11 Extremadura,2025,982
12 Galicia,2025,1434
"17 Rioja, La",2025,1362
,2025,4234
19 Melilla,2025,2073
,2025,1458
"15 Navarra, Comunidad Foral de",2025,1753
01 Andalucía,2024,2318
02 Aragón,2024,1497
"03 Asturias, Principado de",2024,1471
"04 Balears, Illes",2024,4707
05 Canarias,2024,2846
06 Cantabria,2024,1746
07 Castilla y León,2024,1216
08 Castilla - La Mancha,2024,957
09 Cataluña,2024,2495
18 Ceuta,2024,2350
,2024,2061
,2024,3076
11 Extremadura,2024,986
12 Galicia,2024,1437
"17 Rioja, La",2024,1349
,2024,3771
19 Melilla,2024,1994
,2024,1379
"15 Navarra, Comunidad Foral de",2024,1795
01 Andalucía,2023,2078
02 Aragón,2023,1417
"03 Asturias, Principado de",2023,1371
"04 Balears, Illes",2023,4083
05 Canarias,2023,2432
06 Cantabria,2023,1572
07 Castilla y León,2023,1176
08 Castilla - La Mancha,2023,917
09 Cataluña,2023,2339
18 Ceuta,2023,2187
,2023,1776
,2023,2864
11 Extremadura,2023,959
12 Galicia,2023,1375
"17 Rioja, La",2023,1327
,2023,3208
19 Melilla,2023,1934
,2023,1186
"15 Navarra, Comunidad Foral de",2023,1687
01 Andalucía,2022,1891
02 Aragón,2022,1333
"03 Asturias, Principado de",2022,1343
"04 Balears, Illes",2022,3625
05 Canarias,2022,2099
06 Cantabria,2022,1500
07 Castilla y León,2022,1137
08 Castilla - La Mancha,2022,889
09 Cataluña,2022,2295
18 Ceuta,2022,2124
,2022,1596
,2022,2773
11 Extremadura,2022,943
12 Galicia,2022,1338
"17 Rioja, La",2022,1260
,2022,3062
19 Melilla,2022,1885
,2022,1080
"15 Navarra, Comunidad Foral de",2022,1568
01 Andalucía,2021,1778
02 Aragón,2021,1319
"03 Asturias, Principado de",2021,1336
"04 Balears, Illes",2021,3291
05 Canarias,2021,1966
06 Cantabria,2021,1465
07 Castilla y León,2021,1148
08 Castilla - La Mancha,2021,879
09 Cataluña,2021,2277
18 Ceuta,2021,2084
,2021,1479
,2021,2690
11 Extremadura,2021,941
12 Galicia,2021,1328
"17 Rioja, La",2021,1265
,2021,2897
19 Melilla,2021,1842
,2021,1063
"15 Navarra, Comunidad Foral de",2021,1484
01 Andalucía,2020,1660
02 Aragón,2020,1318
"03 Asturias, Principado de",2020,1346
"04 Balears, Illes",2020,3091
05 Canarias,2020,1867
06 Cantabria,2020,1448
07 Castilla y León,2020,1135
08 Castilla - La Mancha,2020,868
09 Cataluña,2020,2244
18 Ceuta,2020,2246
,2020,1413
,2020,2641
11 Extremadura,2020,921
12 Galicia,2020,1327
"17 Rioja, La",2020,1240
,2020,2774
19 Melilla,2020,1777
,2020,1048
"15 Navarra, Comunidad Foral de",2020,1451
