Comunidades y Ciudades Autónomas,Superficie Util,Tamaño Hogar,Año,Total
01 Andalucía,Total,Total,2020,3257.7
01 Andalucía,Total,Total,2019,3229.9
01 Andalucía,Total,Total,2018,3208.4
01 Andalucía,Total,Total,2017,3202.7
01 Andalucía,Total,Total,2016,3197.7
01 Andalucía,Total,Total,2015,3180.6
01 Andalucía,Total,Total,2014,3163.4
01 Andalucía,Total,Total,2013,3135.0
01 Andalucía,Total,1 persona,2020,789.7
01 Andalucía,Total,1 persona,2019,767.0
01 Andalucía,Total,1 persona,2018,751.3
01 Andalucía,Total,1 persona,2017,742.9
01 Andalucía,Total,1 persona,2016,736.0
01 Andalucía,Total,1 persona,2015,723.4
01 Andalucía,Total,1 persona,2014,710.1
01 Andalucía,Total,1 persona,2013,685.8
01 Andalucía,Total,2 personas,2020,931.4
01 Andalucía,Total,2 personas,2019,922.8
01 Andalucía,Total,2 personas,2018,915.0
01 Andalucía,Total,2 personas,2017,912.0
01 Andalucía,Total,2 personas,2016,911.9
01 Andalucía,Total,2 personas,2015,906.8
01 Andalucía,Total,2 personas,2014,900.3
01 Andalucía,Total,2 personas,2013,886.3
01 Andalucía,Total,3 personas,2020,682.3
01 Andalucía,Total,3 personas,2019,681.7
01 Andalucía,Total,3 personas,2018,682.5
01 Andalucía,Total,3 personas,2017,683.3
01 Andalucía,Total,3 personas,2016,682.8
01 Andalucía,Total,3 personas,2015,680.1
01 Andalucía,Total,3 personas,2014,677.6
01 Andalucía,Total,3 personas,2013,676.7
01 Andalucía,Total,4 personas,2020,646.4
01 Andalucía,Total,4 personas,2019,650.8
01 Andalucía,Total,4 personas,2018,651.0
01 Andalucía,Total,4 personas,2017,654.7
01 Andalucía,Total,4 personas,2016,655.6
01 Andalucía,Total,4 personas,2015,655.5
01 Andalucía,Total,4 personas,2014,656.3
01 Andalucía,Total,4 personas,2013,659.7
01 Andalucía,Total,5 personas,2020,146.9
01 Andalucía,Total,5 personas,2019,149.3
01 Andalucía,Total,5 personas,2018,163.0
01 Andalucía,Total,5 personas,2017,167.1
01 Andalucía,Total,5 personas,2016,165.7
01 Andalucía,Total,5 personas,2015,167.5
01 Andalucía,Total,5 personas,2014,168.9
01 Andalucía,Total,5 personas,2013,170.4
01 Andalucía,Total,6 personas,2020,39.3
01 Andalucía,Total,6 personas,2019,36.4
01 Andalucía,Total,6 personas,2018,31.2
01 Andalucía,Total,6 personas,2017,30.7
01 Andalucía,Total,6 personas,2016,34.6
01 Andalucía,Total,6 personas,2015,36.4
01 Andalucía,Total,6 personas,2014,36.3
01 Andalucía,Total,6 personas,2013,44.3
01 Andalucía,Total,7 personas,2020,15.5
01 Andalucía,Total,7 personas,2019,16.7
01 Andalucía,Total,7 personas,2018,9.3
01 Andalucía,Total,7 personas,2017,8.9
01 Andalucía,Total,7 personas,2016,5.7
01 Andalucía,Total,7 personas,2015,6.2
01 Andalucía,Total,7 personas,2014,10.1
01 Andalucía,Total,7 personas,2013,8.1
01 Andalucía,Total,8 personas o más,2020,6.2
01 Andalucía,Total,8 personas o más,2019,5.1
01 Andalucía,Total,8 personas o más,2018,5.1
01 Andalucía,Total,8 personas o más,2017,3.2
01 Andalucía,Total,8 personas o más,2016,5.5
01 Andalucía,Total,8 personas o más,2015,4.9
01 Andalucía,Total,8 personas o más,2014,3.9
01 Andalucía,Total,8 personas o más,2013,3.6
01 Andalucía,Menos de 46 m2,Total,2020,80.3
01 Andalucía,Menos de 46 m2,Total,2019,79.6
01 Andalucía,Menos de 46 m2,Total,2018,76.7
01 Andalucía,Menos de 46 m2,Total,2017,61.4
01 Andalucía,Menos de 46 m2,Total,2016,76.5
01 Andalucía,Menos de 46 m2,Total,2015,111.4
01 Andalucía,Menos de 46 m2,Total,2014,101.1
01 Andalucía,Menos de 46 m2,Total,2013,91.2
01 Andalucía,Menos de 46 m2,1 persona,2020,45.0
01 Andalucía,Menos de 46 m2,1 persona,2019,51.6
01 Andalucía,Menos de 46 m2,1 persona,2018,44.1
01 Andalucía,Menos de 46 m2,1 persona,2017,32.0
01 Andalucía,Menos de 46 m2,1 persona,2016,41.0
01 Andalucía,Menos de 46 m2,1 persona,2015,61.7
01 Andalucía,Menos de 46 m2,1 persona,2014,62.8
01 Andalucía,Menos de 46 m2,1 persona,2013,54.9
01 Andalucía,Menos de 46 m2,2 personas,2020,22.2
01 Andalucía,Menos de 46 m2,2 personas,2019,16.7
01 Andalucía,Menos de 46 m2,2 personas,2018,19.7
01 Andalucía,Menos de 46 m2,2 personas,2017,17.2
01 Andalucía,Menos de 46 m2,2 personas,2016,17.9
01 Andalucía,Menos de 46 m2,2 personas,2015,29.8
01 Andalucía,Menos de 46 m2,2 personas,2014,25.1
01 Andalucía,Menos de 46 m2,2 personas,2013,19.7
01 Andalucía,Menos de 46 m2,3 personas,2020,8.9
01 Andalucía,Menos de 46 m2,3 personas,2019,6.2
01 Andalucía,Menos de 46 m2,3 personas,2018,4.8
01 Andalucía,Menos de 46 m2,3 personas,2017,6.1
01 Andalucía,Menos de 46 m2,3 personas,2016,10.7
01 Andalucía,Menos de 46 m2,3 personas,2015,10.3
01 Andalucía,Menos de 46 m2,3 personas,2014,7.1
01 Andalucía,Menos de 46 m2,3 personas,2013,8.6
01 Andalucía,Menos de 46 m2,4 personas,2020,3.2
01 Andalucía,Menos de 46 m2,4 personas,2019,3.7
01 Andalucía,Menos de 46 m2,4 personas,2018,5.9
01 Andalucía,Menos de 46 m2,4 personas,2017,4.5
01 Andalucía,Menos de 46 m2,4 personas,2016,5.5
01 Andalucía,Menos de 46 m2,4 personas,2015,7.7
01 Andalucía,Menos de 46 m2,4 personas,2014,4.2
01 Andalucía,Menos de 46 m2,4 personas,2013,6.9
01 Andalucía,Menos de 46 m2,5 personas,2020,1.1
01 Andalucía,Menos de 46 m2,5 personas,2019,1.0
01 Andalucía,Menos de 46 m2,5 personas,2018,2.1
01 Andalucía,Menos de 46 m2,5 personas,2017,1.3
01 Andalucía,Menos de 46 m2,5 personas,2016,0.5
01 Andalucía,Menos de 46 m2,5 personas,2015,1.8
01 Andalucía,Menos de 46 m2,5 personas,2014,1.5
01 Andalucía,Menos de 46 m2,5 personas,2013,0.5
01 Andalucía,Menos de 46 m2,6 personas,2019,0.5
01 Andalucía,Menos de 46 m2,6 personas,2017,0.4
01 Andalucía,Menos de 46 m2,6 personas,2016,0.4
01 Andalucía,Menos de 46 m2,6 personas,2014,0.4
01 Andalucía,Menos de 46 m2,6 personas,2013,0.5
01 Andalucía,Menos de 46 m2,7 personas,2016,0.3
01 Andalucía,Entre 46 y 75 m2,Total,2020,929.3
01 Andalucía,Entre 46 y 75 m2,Total,2019,838.2
01 Andalucía,Entre 46 y 75 m2,Total,2018,817.5
01 Andalucía,Entre 46 y 75 m2,Total,2017,820.8
01 Andalucía,Entre 46 y 75 m2,Total,2016,795.9
01 Andalucía,Entre 46 y 75 m2,Total,2015,778.3
01 Andalucía,Entre 46 y 75 m2,Total,2014,812.9
01 Andalucía,Entre 46 y 75 m2,Total,2013,871.6
01 Andalucía,Entre 46 y 75 m2,1 persona,2020,293.9
